PRODUCTO     ;DESCRIPCION                                       ;REFERENCIA                                                  ;CANTIDAD         ; PRECIO -001      ;COSTO             
0010001001012;CONVERTIDOR USB - VGA USB TORS 232 4155           ;01080601                                                    ;0,00 ; $ 15.000 ;0,00 
0010001010807;SPLITTER HDMI 4 SALIDAS  SPLT-1X4H 1080P 3D PS-297;010807                                                      ;0,00 ; $ 120.000 ;0,00 
0010001010808;CONVERTIDOR  TIPO C A VGA H B421 10575            ;010808                                                      ;0,00 ; $ 31.000 ;0,00 
0010001001028;CONVER TIPO C X USB Y HDMI ETR-1120G-1            ;01080801                                                    ;13,00 ; $ 69.500 ;491.895,55 
0010001010809;CONVERTIDOR VGA A HDMI + AUDIO MST-1140G-3        ;010809                                                      ;34,00 ; $ 20.000 ;537.792,58 
0010001010810;CONVERTIDOR C/CABLE VGA-AUDIO A HDMI MST-1048G-5  ;010810                                                      ;0,00 ; $ 54.000 ;265.376,00 
0010001010811;CONVERT USB 3.0 A VGA LULOVA PS-482/1035G-9       ;010811                                                      ;0,00 ; $ 59.000 ;0,00 
0010001001013;SWITCH / SPLITTER HDMI 2X4 1120G-9                ;01081101                                                    ;0,00 ; $ 230.000 ;0,00 
0010001010812;SPLITTER HDMI 4 SALIDAS PS-260  (233)             ;010812                                                      ;0,00 ; $ 73.000 ;0,00 
0010001010813;CONVERTIDOR TIPO C A HDMI  10C20-814              ;010813                                                      ;1,00 ; $ 32.000 ;274.756,44 
0010001010814;CONVERTIDOR AUDIO ANALOGO A DIGITAL  ARO-15       ;010814                                                      ;0,00 ; $ 28.000 ;0,00 
0010001010815;CONVERTIDOR SEÑAL DIGITAL A SEÑAL ANALOGICA  CC-20;010815                                                      ;1,00 ; $ 42.000 ;0,00 
0010001001014;CONV AUDIO DIGITAL A ANALOGO (400139)             ;01081501                                                    ;0,00 ; $ 48.000 ;0,00 
